SlaveConfigNumber,Response Time
11,698393108
13,506743157
11,694474438
13,889307769
11,703878029
13,878929914
11,694611989
13,887161752
11,704727990
13,987722363
11,700145525
13,885469251
11,707107120
13,895313896
11,730804399
13,897132125
11,714075743
13,881895546
11,702937526
13,892319510
11,705501322
13,887831052
11,720097242
13,903038741
11,716146539
13,875589360
11,727105289
13,898797371
11,691878655
13,899730239
11,714671512
13,906441304
11,732805225
13,897068427
11,701492192
13,894026740
11,712902666
13,890727752
11,700669243
13,896577676
11,711590078
13,889126312
11,703705694
13,916437376
11,727059433
13,895809724
11,708812967
13,894294789
11,708971303
13,890015127
11,741180207
13,900285708
11,716054089
13,900234881
11,718735280
13,885223869
11,721594331
13,872721905
11,728600967
13,882267903
11,724457449
13,885231434
11,711123197
13,879593654
11,712112362
13,883708223
11,711027216
13,889766793
11,712288934
13,898297641
11,712593468
13,895171203
11,717769487
13,901724715
11,707245115
13,899599938
11,720781562
13,881730188
11,710580418
13,886763084
11,726197843
13,904041336
11,724867541
13,894759199
11,727823937
13,901625628
11,718423830
13,892746562
11,719424559
13,901138192
11,701909755
13,894702554
11,701934030
13,904082722
11,711064355
13,894617201
11,723721587
13,893398199
11,710029261
13,884736891
