SlaveConfigNumber,Response Time
1,25105666
3,88767353
1,25629778
3,88036680
1,25687226
3,97245440
1,25239103
3,88914436
1,26903522
3,94163788
1,40274347
3,89202768
1,25159885
3,101169901
1,38926749
3,94313943
1,27631071
3,87109549
1,26718680
3,99246421
1,44382765
3,98180332
1,26210348
3,98928505
1,26895294
3,113707553
1,27430865
3,89164436
1,25248634
3,89328654
1,25679727
3,89677089
1,26464827
3,96156904
1,26888731
3,94126132
1,26456494
3,88608709
1,25200197
3,90332712
1,27198261
3,87975795
1,27136334
3,89323602
1,28529401
3,89798704
1,27810290
3,94986441
1,35907127
3,97979396
1,29545855
3,90789429
1,26925763
3,110460641
1,26525035
3,114275988
1,27034356
3,90072661
1,26258161
3,99116891
1,25756601
3,95808833
1,27482531
3,99019339
1,26902794
3,86659864
1,26030038
3,99703451
1,25022021
3,104831552
1,26372380
3,95712741
1,26652223
3,96318050
1,25428061
3,95511179
1,27033575
3,93406136
1,26657170
3,92786087
1,26773524
3,97370858
1,27518573
3,92075726
1,26932013
3,95178055
1,41250281
3,96156905
1,26733472
3,96839194
1,26541598
3,98482051
1,46881661
3,107015346
1,26536129
3,96744350
1,28013414
3,102367659
1,26149412
3,92624838
