SlaveConfigNumber,Response Time
1,25773760
2,39345117
1,25300064
2,39167565
1,24963450
2,38965325
1,25598707
2,38686784
1,25273448
2,40031414
1,25713238
2,38889075
1,24714543
2,39263552
1,24961366
2,38917512
1,23991838
2,49659450
1,24555377
2,39306781
1,25324802
2,38853970
1,28021614
2,42479268
1,24340951
2,40120943
1,26977920
2,41491147
1,27524272
2,41666823
1,26508703
2,39929798
1,25446259
2,39062145
1,24884125
2,41319271
1,26423026
2,39960058
1,29557388
2,38763500
1,27639062
2,39934224
1,25460424
2,41772655
1,24858708
2,41298750
1,27078647
2,41157552
1,24742615
2,40055109
1,27662916
2,39664642
1,24967457
2,39391205
1,38071157
2,42331766
1,42878326
2,41365988
1,26617034
2,41569165
1,27225313
2,41561247
1,26595055
2,43522542
1,24582979
2,39139851
1,25497350
2,39786983
1,26710054
2,41994162
1,28004476
2,40032503
1,25253497
2,41488539
1,26236409
2,41623798
1,24802457
2,39441150
1,31102953
2,43423166
1,24772196
2,41696402
1,26773231
2,39503598
1,26950834
2,40989113
1,26071462
2,41316612
1,26812448
2,42417962
1,45480502
2,61377992
1,26887761
2,43610925
1,42741293
2,42246816
1,26462919
2,41536037
1,27728173
2,43333270
