SlaveConfigNumber,Response Time
1,24872921
2,151229444
1,24596932
2,153054748
1,24830316
2,153111935
1,24880317
2,170373167
1,24735161
2,149156117
1,25191461
2,171768577
1,24454901
2,151054494
1,36151052
2,149316481
1,24843442
2,157424468
1,26554476
2,165666206
1,25171253
2,160105030
1,24948701
2,168273643
1,25173596
2,159433053
1,24890264
2,151700793
1,28025877
2,147345654
1,25206982
2,155338174
1,26613434
2,164783656
1,27886085
2,169754573
1,26521299
2,150608035
1,24763858
2,174282523
1,25549896
2,155181611
1,27657076
2,158338420
1,25877968
2,158806960
1,25802343
2,160704191
1,27109473
2,152390527
1,36315842
2,156921133
1,25787448
2,157886233
1,25338543
2,154905308
1,28052750
2,172145186
1,25693906
2,164555164
1,25029377
2,157210506
1,24831722
2,176825113
1,26623173
2,152585264
1,26475934
2,156211186
1,27132806
2,154749317
1,25232032
2,153167083
1,26549995
2,152211201
1,47981315
2,163242980
1,26654474
2,153415103
1,25582760
2,151041883
1,27329003
2,150639228
1,28118948
2,178961352
1,26747860
2,153010624
1,26730933
2,156461235
1,43436333
2,157575449
1,26901296
2,154163900
1,26506298
2,174263141
1,27682543
2,159465910
1,39409370
2,161971004
1,26413642
2,152705156
