SlaveConfigNumber,Response Time
1,25316971
2,36916867
1,25883478
2,37134991
1,25340564
2,37322646
1,25947071
2,58027710
1,25253586
2,37074938
1,25025565
2,37173532
1,43599180
2,50174620
1,25743583
2,37299157
1,25206971
2,36860721
1,25683480
2,37328166
1,25268794
2,37509520
1,24926816
2,37121710
1,25775770
2,37689988
1,24996763
2,37254365
1,24803639
2,39962062
1,41505491
2,57116204
1,37217178
2,37423114
1,43792252
2,37022907
1,24968117
2,37177803
1,24619005
2,37449521
1,25161138
2,35983537
1,41083827
2,37119313
1,43062673
2,37209469
1,27586231
2,37264573
1,24289840
2,37323635
1,25513219
2,57733544
1,41938563
2,36770408
1,39725499
2,39334512
1,28265968
2,40817422
1,25198325
2,36869471
1,27292743
2,38783264
1,25179731
2,38008632
1,26253216
2,41697834
1,25065826
2,37241604
1,24836920
2,39241023
1,24928691
2,39952062
1,27119567
2,38301913
1,27406076
2,38782222
1,42542154
2,38795191
1,25009055
2,39179617
1,27924459
2,39855135
1,25164627
2,37674676
1,25613323
2,36790096
1,30455697
2,39801541
1,26717901
2,39664875
1,25897437
2,41804824
1,25670341
2,41490189
1,25924819
2,37989834
1,26624452
2,37926552
1,24988570
2,37929728
