SlaveConfigNumber,Cycle Time
11,283749
11,186354
11,180416
11,222186
11,165885
11,191301
11,174062
11,191406
11,178697
11,155624
11,160468
11,182239
11,181301
11,165000
11,159843
11,168593
11,164114
11,166093
11,171874
11,152447
11,165780
11,158905
11,156197
11,156979
11,159739
11,170000
11,164010
11,160312
11,154322
11,165989
11,166718
11,152134
11,167655
11,154791
11,154374
11,155156
11,179843
11,167812
11,166301
11,180156
11,157395
11,157134
11,159687
11,168489
11,150364
11,163073
11,149791
11,169583
11,153593
11,157499
11,159218
11,157551
11,177395
11,157239
11,158020
11,255051
11,182187
11,159322
11,159218
11,169843
11,153124
11,166145
11,163176
11,163020
11,179114
11,153073
11,155051
11,160468
11,162031
11,178072
11,179114
11,160468
11,157656
11,153593
11,165468
11,184322
11,155208
11,153593
11,154427
11,156927
11,151353
11,158801
11,153228
11,163125
11,156041
11,151041
11,157448
11,153749
11,150416
11,161354
11,148124
11,160937
11,148333
11,162447
11,152811
11,163176
11,149531
11,161979
11,150572
11,161666
11,161666
11,158177
11,150416
11,157604
11,150416
11,158853
11,155677
11,154375
11,147968
11,162447
11,148749
11,163177
11,154479
11,160208
11,150780
11,161666
11,151197
11,261249
11,164114
11,168229
11,152552
11,164166
11,153125
11,161041
11,152864
11,162239
11,152291
11,155520
11,150521
11,160260
11,153801
11,162655
11,149583
11,164375
11,152916
11,155781
11,161927
11,181718
11,165364
11,178437
11,169739
11,153072
11,172916
11,151614
11,166250
11,164322
11,158593
11,178437
11,175728
11,156562
11,163332
11,182447
11,149531
11,178176
11,175728
11,162760
11,170312
11,177447
11,179843
11,156354
11,157187
11,157656
11,185572
11,158280
11,148073
11,154739
11,158854
11,156562
11,154271
11,152500
11,153332
11,157812
11,153958
11,158697
11,155677
11,155051
11,154947
11,158593
11,178801
11,161457
11,162552
11,154114
11,155260
11,154270
11,158489
11,149270
11,158541
11,150937
11,161093
11,148697
11,163541
11,148854
11,162916
11,150573
11,163853
11,147551
11,165052
11,154479
11,156197
11,149530
11,163124
11,189166
11,150625
11,159270
11,149791
11,163072
11,152447
11,159270
11,150573
11,159530
11,150364
11,163541
11,155729
11,155208
11,154426
11,157864
11,153385
11,160677
11,149114
11,162500
11,152187
11,158593
11,148749
11,163020
11,154114
11,158281
11,158177
11,152343
11,154687
11,156926
11,153541
11,160468
11,150156
11,158593
11,152135
11,162916
11,152186
11,157186
11,149478
11,162134
11,149166
11,165833
11,173228
11,150832
11,150155
11,151926
11,150415
11,158905
11,151718
11,159739
11,150364
11,161353
11,184739
11,151354
11,166406
11,158437
11,155208
11,156614
11,156458
11,161874
11,154999
11,150625
11,155624
11,163541
11,150885
11,155520
11,154635
11,156093
11,156405
11,153853
11,154270
11,156979
11,152864
11,151979
11,160937
11,149948
11,161093
11,153124
11,159687
11,150416
11,158646
11,152760
11,159322
11,152083
11,161927
11,152708
11,160520
11,161770
11,160364
11,169426
11,161301
11,155051
11,153697
11,159478
11,153228
11,161978
11,150520
11,158020
11,150520
11,172812
11,173228
11,165311
11,157499
11,152655
11,153073
11,162031
11,156926
11,171301
11,159947
11,157603
11,151822
11,161510
11,148802
11,172760
11,163385
11,162291
11,167603
11,153385
11,166457
11,177603
11,158750
11,163958
11,176770
11,163020
11,163541
11,173176
11,149582
11,156614
11,154687
11,161614
11,154999
11,162395
11,158437
11,157656
11,168072
11,158436
11,163384
11,155988
11,155728
11,150728
11,164635
11,173905
11,164062
11,160781
11,154843
11,156301
11,155728
11,161562
11,174895
11,161093
11,159739
11,151354
11,157291
11,161146
11,157499
11,175051
11,161458
11,156510
11,156041
11,156718
11,156822
11,158905
11,177031
11,163124
11,164739
11,178437
11,159583
11,270416
11,212342
11,170520
11,153594
11,152655
11,152082
11,159947
11,161458
11,158021
11,147760
11,153333
11,147031
11,166666
11,156666
11,157708
11,150729
11,162812
11,153750
11,174010
11,177812
11,150520
11,153176
11,151458
11,158437
11,155103
11,159582
11,150728
11,162603
11,155311
11,154478
11,152447
11,164270
11,152864
11,159218
11,156510
11,156770
11,151093
11,155207
11,168906
11,155885
11,153385
11,161249
11,159478
11,175208
11,154218
11,158228
11,154479
11,157083
11,150052
11,170520
11,176354
11,171874
11,158072
11,170520
11,154791
11,160520
11,152656
11,158853
11,149479
11,159635
11,194218
11,267603
11,165364
11,160207
11,162343
11,172083
11,157083
11,156823
11,153124
11,174166
11,169843
11,154426
11,156823
11,157603
11,158593
11,172291
11,154427
11,170103
11,154634
11,161353
11,159009
11,162082
11,171509
11,193437
11,157083
11,158437
11,157499
11,154114
11,153698
11,157239
11,167343
11,158905
11,168854
11,159635
11,159583
11,171874
11,157863
11,158124
11,154686
11,200311
11,153957
11,173488
11,154114
11,167291
11,154323
11,157187
11,158854
11,160624
11,171301
11,155052
11,162551
11,158957
11,172603
11,176978
11,153021
11,151405
11,156301
11,159531
11,153332
11,157239
11,154635
11,155885
11,148489
11,292134
11,171770
11,158281
11,158228
11,146614
11,160364
11,144479
11,160208
11,178177
11,150624
11,152186
11,154374
11,148957
11,160624
11,145781
11,166406
11,150468
11,162812
11,159374
11,163593
11,161040
11,153541
11,149843
11,155624
11,150052
11,155624
11,150936
11,166405
11,151457
11,159843
11,151510
11,160885
11,157603
11,153436
11,146874
11,160156
11,151093
11,162759
11,145780
11,169166
11,154583
11,163385
11,155885
11,162551
11,168124
11,153125
11,167239
11,153020
11,155520
11,145781
11,165103
11,154947
11,167864
11,178697
11,161406
11,158541
11,152031
11,152551
11,145937
11,164843
11,153333
11,167448
11,203593
11,168906
11,150780
11,157447
11,150833
11,157239
11,149530
11,163697
11,153385
11,169687
11,177291
11,147500
11,162551
11,150364
11,162291
11,148905
11,168489
11,157082
11,161353
11,152604
11,154010
11,153385
11,153177
11,146874
11,161978
11,157447
11,160833
11,154218
11,161249
11,149427
11,152343
11,147082
11,163436
11,147499
11,171093
11,159062
11,155103
11,155207
11,151249
11,148021
11,162395
11,149166
11,165155
11,148332
11,169999
11,154843
11,152655
11,149686
11,160364
11,144583
11,161510
11,145780
11,163280
11,157082
11,167447
11,156718
11,151510
11,151249
11,160676
11,147864
11,163437
